iter	Passed	Remaining
0	0	75
1	2	114
2	3	118
3	4	113
4	6	121
5	8	125
6	10	133
7	11	137
8	13	139
9	15	139
10	17	140
11	18	137
12	20	136
13	21	134
14	23	133
15	24	130
16	26	128
17	28	127
18	29	126
19	30	123
20	32	122
21	33	120
22	35	118
23	36	116
24	38	114
25	39	112
26	40	110
27	42	108
28	43	106
29	44	103
30	46	102
31	47	100
32	48	98
33	49	95
34	50	93
35	51	91
36	52	88
37	53	87
38	55	86
39	56	84
40	57	82
41	57	79
42	58	78
43	59	76
44	61	74
45	62	73
46	63	71
47	63	69
48	64	67
49	65	65
50	66	64
51	68	62
52	69	61
53	70	59
54	70	58
55	71	56
56	72	55
57	73	53
58	74	51
59	75	50
60	76	49
61	78	47
62	79	46
63	79	44
64	80	43
65	81	42
66	82	40
67	84	39
68	84	38
69	85	36
70	86	35
71	87	34
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	102	14
88	103	12
89	104	11
90	105	10
91	105	9
92	106	8
93	107	6
94	108	5
95	108	4
96	109	3
97	110	2
98	110	1
99	111	0
