iter	Passed	Remaining
0	0	930
1	1	906
2	2	912
3	3	877
4	4	888
5	5	875
6	6	856
7	6	836
8	7	830
9	8	839
10	9	832
11	10	846
12	11	852
13	12	851
14	12	845
15	13	840
16	14	837
17	15	836
18	16	829
19	16	828
20	17	829
21	18	827
22	19	819
23	20	818
24	20	816
25	21	816
26	22	811
27	23	809
28	24	808
29	25	809
30	25	812
31	27	820
32	28	821
33	28	820
34	29	821
35	30	818
36	31	817
37	32	814
38	33	814
39	33	813
40	34	811
41	35	810
42	36	809
43	37	809
44	38	807
45	38	806
46	39	802
47	40	800
48	41	799
49	41	797
50	42	796
51	43	795
52	44	794
53	45	793
54	46	793
55	47	796
56	48	796
57	48	793
58	49	792
59	50	792
60	51	790
61	52	790
62	52	788
63	53	787
64	54	784
65	55	782
66	56	784
67	57	787
68	58	787
69	59	786
70	60	786
71	60	784
72	61	782
73	62	782
74	63	784
75	64	786
76	65	786
77	66	786
78	67	786
79	68	785
80	69	783
81	69	781
82	70	776
83	71	775
84	72	775
85	73	776
86	74	777
87	74	776
88	75	773
89	76	769
90	76	767
91	77	763
92	78	762
93	78	760
94	79	760
95	80	760
96	81	759
97	82	757
98	82	754
99	83	754
100	84	753
101	85	750
102	85	748
103	86	747
104	87	745
105	88	742
106	88	739
107	89	736
108	89	733
109	90	730
110	90	727
111	91	724
112	91	721
113	92	718
114	93	716
115	93	714
116	94	711
117	95	710
118	95	707
119	96	704
120	96	702
121	97	698
122	97	695
123	98	693
124	98	690
125	99	688
126	99	685
127	100	683
128	101	682
129	101	682
130	102	681
131	103	679
132	103	677
133	104	676
134	105	675
135	105	672
136	106	671
137	107	669
138	107	667
139	108	667
140	109	666
141	109	663
142	110	662
143	111	660
144	111	658
145	112	656
146	112	655
147	113	653
148	114	651
149	114	649
150	115	647
151	115	645
152	116	644
153	116	642
154	117	641
155	118	639
156	118	638
157	119	637
158	120	635
159	120	633
160	121	631
161	121	629
162	122	630
163	123	630
164	124	629
165	124	627
166	125	626
167	126	625
168	126	624
169	127	622
170	128	621
171	128	619
172	129	618
173	130	617
174	130	615
175	131	614
176	132	614
177	132	614
178	133	612
179	134	611
180	134	610
181	135	609
182	139	621
183	140	622
184	141	623
185	142	624
186	143	624
187	144	624
188	145	624
189	146	625
190	147	625
191	149	627
192	150	630
193	151	630
194	152	630
195	153	629
196	154	630
197	155	630
198	156	629
199	158	635
200	160	636
201	161	636
202	162	637
203	163	636
204	164	636
205	165	636
206	166	636
207	166	635
208	167	634
209	168	633
210	168	631
211	169	630
212	170	629
213	170	627
214	171	626
215	172	624
216	172	623
217	173	622
218	174	621
219	174	619
220	175	619
221	177	621
222	178	621
223	179	622
224	180	621
225	181	619
226	181	618
227	182	617
228	183	616
229	183	615
230	184	614
231	185	613
232	185	611
233	186	610
234	187	608
235	187	607
236	188	605
237	188	604
238	189	602
239	189	601
240	190	599
241	191	598
242	191	597
243	192	596
244	192	594
245	193	593
246	194	591
247	194	589
248	195	588
249	195	586
250	196	585
251	196	584
252	197	582
253	197	580
254	198	579
255	199	578
256	199	578
257	200	576
258	201	575
259	201	574
260	202	572
261	202	571
262	203	570
263	204	569
264	204	568
265	205	566
266	206	565
267	206	564
268	207	563
269	208	562
270	208	561
271	209	560
272	210	559
273	210	558
274	211	557
275	211	555
276	212	554
277	212	553
278	213	551
279	214	550
280	214	549
281	215	548
282	216	547
283	216	546
284	217	545
285	220	550
286	221	550
287	222	550
288	223	549
289	224	549
290	225	548
291	226	548
292	227	547
293	227	547
294	228	546
295	229	546
296	231	547
297	232	547
298	233	546
299	234	546
300	235	547
301	236	547
302	237	547
303	238	546
304	239	546
305	240	546
306	241	545
307	242	544
308	243	544
309	244	544
310	246	545
311	246	544
312	247	543
313	248	542
314	249	541
315	249	540
316	250	539
317	251	539
318	252	538
319	253	537
320	253	536
321	254	535
322	254	534
323	255	533
324	256	532
325	256	531
326	257	530
327	258	530
328	260	530
329	261	530
330	262	529
331	262	528
332	263	527
333	263	526
334	264	525
335	265	523
336	265	522
337	266	521
338	267	520
339	267	520
340	268	519
341	269	518
342	269	516
343	270	515
344	271	514
345	271	513
346	272	512
347	272	511
348	273	510
349	274	509
350	277	513
351	278	513
352	280	514
353	281	514
354	282	513
355	283	513
356	284	512
357	285	511
358	286	511
359	287	510
360	288	510
361	289	510
362	290	509
363	291	509
364	292	509
365	293	509
366	294	508
367	296	509
368	297	508
369	298	508
370	299	507
371	300	507
372	301	506
373	302	506
374	303	505
375	304	505
376	305	504
377	306	503
378	306	502
379	307	501
380	308	500
381	309	499
382	309	498
383	310	497
384	311	497
385	311	496
386	312	495
387	313	494
388	313	493
389	314	492
390	315	491
391	316	490
392	317	489
393	318	489
394	319	488
395	320	488
396	321	487
397	321	486
398	322	486
399	323	485
400	324	484
401	324	483
402	325	482
403	326	481
404	327	480
405	328	479
406	328	479
407	329	478
408	330	477
409	330	476
410	332	475
411	333	475
412	334	475
413	335	474
414	336	473
415	336	473
416	337	472
417	338	471
418	338	470
419	339	469
420	341	469
421	344	471
422	345	471
423	346	470
424	347	469
425	348	469
426	349	468
427	349	467
428	350	466
429	352	466
430	353	466
431	354	465
432	355	465
433	356	465
434	357	464
435	358	464
436	359	463
437	360	462
438	361	462
439	362	461
440	363	460
441	363	459
442	364	458
443	365	457
444	365	456
445	366	455
446	367	454
447	367	453
448	368	452
449	369	451
450	370	450
451	371	450
452	372	449
453	373	448
454	374	448
455	374	447
456	375	446
457	376	445
458	377	444
459	377	443
460	378	442
461	379	441
462	379	440
463	380	439
464	380	438
465	381	436
466	381	435
467	382	434
468	382	433
469	383	432
470	384	431
471	384	430
472	385	429
473	385	428
474	386	427
475	387	426
476	387	425
477	388	424
478	388	423
479	389	422
480	390	420
481	390	419
482	391	418
483	391	417
484	392	416
485	392	415
486	393	414
487	394	413
488	394	412
489	395	411
490	396	410
491	396	409
492	397	408
493	397	407
494	398	406
495	398	405
496	399	404
497	399	403
498	400	402
499	401	401
500	401	400
501	402	399
502	402	398
503	403	397
504	404	396
505	404	395
506	405	394
507	405	393
508	406	391
509	406	390
510	407	389
511	407	388
512	408	387
513	409	386
514	409	385
515	410	384
516	410	383
517	411	382
518	412	382
519	412	381
520	413	380
521	414	379
522	414	378
523	415	377
524	415	376
525	416	375
526	417	374
527	417	373
528	418	372
529	418	371
530	419	370
531	420	369
532	420	368
533	421	367
534	422	366
535	422	365
536	423	364
537	423	363
538	424	363
539	425	362
540	425	361
541	426	360
542	427	359
543	427	358
544	428	357
545	429	356
546	429	355
547	430	355
548	431	354
549	431	353
550	432	352
551	432	351
552	433	350
553	433	349
554	434	348
555	434	347
556	435	346
557	435	345
558	436	344
559	436	343
560	437	342
561	438	341
562	438	340
563	439	339
564	440	338
565	440	338
566	441	337
567	441	336
568	442	335
569	442	334
570	443	333
571	444	332
572	444	331
573	445	330
574	445	329
575	446	328
576	447	327
577	447	326
578	448	326
579	448	325
580	449	324
581	450	323
582	450	322
583	451	321
584	451	320
585	452	319
586	452	318
587	453	317
588	454	316
589	454	315
590	455	314
591	455	314
592	456	313
593	456	312
594	457	311
595	457	310
596	458	309
597	458	308
598	459	307
599	460	306
600	461	306
601	461	305
602	462	304
603	462	303
604	463	302
605	463	301
606	464	300
607	465	299
608	465	298
609	466	297
610	466	297
611	467	296
612	467	295
613	468	294
614	471	294
615	471	294
616	472	293
617	472	292
618	473	291
619	473	290
620	474	289
621	474	288
622	475	287
623	476	286
624	476	286
625	477	285
626	477	284
627	478	283
628	478	282
629	479	281
630	479	280
631	480	279
632	480	278
633	481	277
634	481	276
635	482	276
636	483	275
637	483	274
638	484	273
639	485	273
640	486	272
641	486	271
642	487	270
643	487	269
644	488	268
645	488	267
646	489	266
647	489	266
648	490	265
649	491	264
650	491	263
651	492	262
652	493	261
653	493	261
654	494	260
655	494	259
656	495	258
657	495	257
658	496	256
659	496	255
660	497	255
661	497	254
662	498	253
663	499	252
664	499	251
665	500	251
666	501	250
667	501	249
668	502	248
669	502	247
670	503	246
671	504	246
672	504	245
673	505	244
674	506	243
675	506	242
676	507	242
677	508	241
678	508	240
679	509	239
680	510	239
681	511	238
682	511	237
683	512	236
684	512	235
685	513	235
686	514	234
687	515	233
688	515	232
689	516	232
690	517	231
691	517	230
692	518	229
693	518	228
694	519	227
695	519	227
696	520	226
697	521	225
698	521	224
699	522	223
700	523	223
701	523	222
702	524	221
703	524	220
704	525	219
705	525	219
706	526	218
707	526	217
708	527	216
709	528	215
710	528	214
711	529	214
712	530	213
713	530	212
714	531	211
715	531	210
716	532	210
717	532	209
718	533	208
719	533	207
720	534	206
721	534	205
722	535	205
723	535	204
724	536	203
725	537	202
726	538	202
727	538	201
728	539	200
729	539	199
730	540	198
731	541	198
732	541	197
733	542	196
734	542	195
735	543	194
736	543	194
737	544	193
738	544	192
739	545	191
740	546	190
741	546	190
742	547	189
743	547	188
744	548	187
745	548	186
746	549	186
747	549	185
748	550	184
749	550	183
750	551	182
751	552	182
752	552	181
753	553	180
754	553	179
755	554	178
756	554	178
757	555	177
758	555	176
759	556	175
760	556	174
761	557	173
762	557	173
763	558	172
764	559	171
765	559	170
766	560	170
767	561	169
768	561	168
769	562	167
770	562	167
771	563	166
772	563	165
773	564	164
774	564	163
775	565	163
776	565	162
777	566	161
778	567	160
779	567	160
780	568	159
781	568	158
782	569	157
783	570	157
784	570	156
785	571	155
786	571	154
787	572	153
788	572	153
789	573	152
790	573	151
791	574	150
792	575	150
793	575	149
794	576	148
795	576	147
796	577	147
797	578	146
798	578	145
799	579	144
800	579	144
801	580	143
802	580	142
803	581	141
804	582	140
805	582	140
806	583	139
807	583	138
808	584	138
809	585	137
810	585	136
811	586	135
812	587	135
813	587	134
814	588	133
815	589	132
816	589	132
817	590	131
818	591	130
819	591	129
820	592	129
821	593	128
822	594	127
823	594	127
824	595	126
825	596	125
826	596	124
827	597	124
828	598	123
829	598	122
830	599	121
831	600	121
832	600	120
833	601	119
834	601	118
835	602	118
836	602	117
837	603	116
838	603	115
839	604	115
840	605	114
841	606	113
842	606	113
843	607	112
844	608	111
845	608	110
846	609	110
847	609	109
848	610	108
849	610	107
850	611	107
851	612	106
852	612	105
853	613	104
854	614	104
855	614	103
856	615	102
857	615	101
858	616	101
859	617	100
860	617	99
861	618	98
862	618	98
863	619	97
864	619	96
865	620	95
866	620	95
867	621	94
868	622	93
869	622	93
870	623	92
871	623	91
872	624	90
873	624	90
874	625	89
875	625	88
876	626	87
877	626	87
878	627	86
879	628	85
880	629	84
881	629	84
882	630	83
883	630	82
884	631	82
885	632	81
886	632	80
887	633	79
888	634	79
889	634	78
890	635	77
891	636	77
892	636	76
893	637	75
894	638	74
895	638	74
896	639	73
897	639	72
898	640	71
899	640	71
900	641	70
901	641	69
902	642	69
903	643	68
904	643	67
905	644	66
906	644	66
907	645	65
908	645	64
909	646	63
910	647	63
911	647	62
912	648	61
913	648	61
914	649	60
915	649	59
916	650	58
917	651	58
918	651	57
919	652	56
920	653	56
921	653	55
922	654	54
923	654	53
924	655	53
925	656	52
926	656	51
927	657	50
928	657	50
929	658	49
930	659	48
931	660	48
932	660	47
933	661	46
934	662	46
935	662	45
936	663	44
937	664	43
938	664	43
939	665	42
940	666	41
941	666	41
942	667	40
943	668	39
944	668	38
945	669	38
946	669	37
947	670	36
948	671	36
949	671	35
950	672	34
951	672	33
952	673	33
953	673	32
954	674	31
955	675	31
956	675	30
957	676	29
958	676	28
959	677	28
960	678	27
961	678	26
962	679	26
963	680	25
964	680	24
965	681	23
966	682	23
967	682	22
968	683	21
969	684	21
970	684	20
971	685	19
972	685	19
973	686	18
974	687	17
975	687	16
976	688	16
977	689	15
978	689	14
979	690	14
980	690	13
981	691	12
982	692	11
983	693	11
984	693	10
985	694	9
986	694	9
987	695	8
988	695	7
989	696	7
990	697	6
991	698	5
992	698	4
993	699	4
994	699	3
995	700	2
996	700	2
997	701	1
998	701	0
999	702	0
